from,to
1155799,34679
1050204,274229
1050204,274229
1050204,274229
1050204,274229
1155799,34679
1155799,34679
1050204,208506
1050204,208506
1050204,244564
1050204,244564
1050204,274229
1050204,274229
1050204,274229
1050204,1124227
1050204,1124256
1050204,1178300
1050204,1178300
1050204,1071480
1050204,1096697
1000382,1000463
1000382,1083368
1155799,34679
1000382,46844
1000382,49778
1000382,49778
1000382,49781
1000382,50225
1000382,50225
1000382,50225
1000382,51792
1000382,51792
1000382,51792
1000382,51792
1000382,51792
1000382,51792
1000382,51792
1000382,51792
1000382,51792
1000382,62134
1000382,131183
1000382,145668
1000382,183628
1000382,230110
1000382,270703
1050204,208397
1000382,49778
1000382,50225
1000382,51792
1000382,51792
1000382,62134
1000382,119252
1000382,270703
1050204,208397
1050204,208506
1000382,295094
1000382,350442
1000382,351854
1000382,369333
1000382,505325
1000382,511206
1000382,319513
1050204,525105
1000382,499759
1000382,511206
1000382,350442
1000382,369333
1000382,350442
1000382,505325
1000382,911575
1000382,911575
1000382,911575
1000382,911575
1000382,1000463
1000382,1094786
1000382,1114150
1000382,1114150
1000382,1114150
1000382,1114150
1000382,1412410
1000382,1889463
1000382,1424284
1000382,1998409
1000382,1998409
1050204,577614
1050204,726537
1050204,1092952
1050204,1271995
1050204,1278348
1050204,1784330
1000382,1002607
1000382,1002607
1000382,1002607
1000382,1114150
1000382,1114150
1000382,1889463
1000382,1307021
1000382,1998409
1000382,911575
1000382,1114150
1000382,1201407
1000382,1307021
1000382,319394
1000382,495816
1050204,357562
1050204,357562
1050204,357562
1000382,319408
1050204,394861
1050204,465617
1050204,394861
1050204,394861
1000382,1114150
1000382,1114150
1000382,1708108
1050204,681529
1000382,655192
1050204,1124227
1050204,1124227
1050204,1239167
1050204,1290566
1050204,1609642
1050204,1290566
1050204,1988998
1000382,1412410
1000382,213619
1000382,213619
1000382,213619
1050204,208397
1000382,319408
1000382,465708
1000382,321333
1000382,500136
1000382,876371
1000382,1378890
1000382,2643618
2583554,1558908
1000382,769138
1000382,876371
1000382,876371
1000382,1002607
1000382,1002607
1000382,319408
1000382,321333
1050204,357562
1050204,357562
1050204,357562
1050204,357562
1050204,357562
1050204,357562
1050204,357562
1050204,357562
1050204,457651
2583554,505658
1050204,357562
1050204,357562
1000382,1083368
1000382,1083368
1000382,1412410
1000382,1412410
1050204,577614
1050204,577614
1050204,1239167
1000382,769138
1000382,213619
1000382,213619
1000382,213619
1050204,130203
1000382,214961
1050204,357562
1050204,357562
1000382,769138
1000382,2264047
1000382,1433191
1000382,1433191
1000382,1278147
1050204,3237199
1000382,1412410
1000382,2490211
1050204,357562
1050204,357562
1050204,357562
1050204,496414
1050204,520219
1050204,357562
1050204,357562
1050204,357562
1050204,577614
1050204,577614
1050204,772296
1050204,909999
1050204,1071480
1050204,1124227
1050204,1124227
1050204,1124227
1050204,3237199
1050204,1897321
1050204,38108
1050204,281390
1050204,132891
1050204,208397
1000382,321333
1000382,465708
1050204,465617
1000382,634827
1000382,753204
1000382,1083368
1050204,577614
1000382,311798
1050204,357562
1050204,515669
1000382,2604480
1050204,577614
1050204,681529
1050204,1631301
1050204,1757338
1000382,610992
1000382,213619
1000382,245625
1000382,315757
1000382,321333
1000382,321333
1000382,754985
1000382,877092
1000382,1040159
1000382,1433191
1000382,1478656
2583554,1048834
1000382,1083368
1000382,1083368
1050204,357562
1050204,357562
1050204,457651
1050204,520219
1000382,1353754
1050204,577614
1050204,577614
1050204,681529
1050204,1124256
1050204,1124256
1050204,1124256
1050204,1124256
1050204,1124256
1050204,4398215
1050204,4398215
1050204,1775971
1050204,4398215
1000382,43933
1000382,49778
1000382,49778
1000382,59774
1000382,215021
1000382,213619
1000382,1000463
1000382,1178289
1000382,1200173
1000382,1273049
1050204,357562
1050204,496414
1050204,520219
1050204,357562
1050204,357562
1050204,1631301
1050204,2215522
1000382,49778
1000382,50225
1000382,51792
1000382,54575
1000382,54575
1050204,104726
1000382,149920
1050204,208506
1000382,315757
1000382,315757
1000382,315757
1000382,369205
1000382,495816
1050204,357562
1000382,651606
1000382,659753
1000382,743997
1000382,743997
1000382,2759102
1000382,1366318
1000382,5751045
1000382,5864458
1000382,5878077
1000382,5878077
1000382,5878077
1000382,5878077
1050204,1290566
2583554,1057466
1000382,5878077
1050204,357562
1050204,357562
1050204,496414
1050204,1124256
1050204,1239167
1050204,2742853
1050204,1290566
1000382,33773
1000382,715885
1000382,5878077
1050204,357562
1050204,520219
1050204,357562
1000382,715885
1050204,577614
1050204,1124256
1000382,540585
1050204,357562
1000382,1412410
1050204,1178300
2583554,1558908
1000382,49778
1000382,4694550
1000382,1622267
1050204,6140290
1050204,1071480
1000382,115501
1050204,520219
1050204,6140290
1050204,726537
1050204,6140290
1050204,357562
1050204,209162
1000382,4694550
1000382,4694550
1000382,651606
2583554,217268
1000382,321333
1000382,651606
1050204,2727545
1050204,2727545
1000382,50225
1000382,51792
1050204,1068287
1000382,971350
1050204,1631301
1000382,104726
1050204,357562
1000382,1934308
1000382,971350
1000382,49778
1000382,651606
1000382,7645522
1000382,1023601
1000382,492092
1050204,1631301
1000382,5
1000382,5
1000382,5
1000382,5
1000382,5
1000382,5
1000382,5
1000382,5
1000382,5
1000382,5
1000382,5
1000382,5
1000382,33773
1000382,134211
1000382,6621171
1050204,1068287
1000382,51792
1000382,51792
2583554,92091
1000382,1000463
1050204,357562
1000382,906246
2583554,7444193
1050204,357562
1050204,577614
1050204,357562
1000382,6516352
1000382,5
1000382,9
1000382,9
1000382,6621171
1050204,747082
385973,76842
385973,286387
385973,286387
385973,286387
385973,368832
385973,286387
385973,368832
385973,1231134
385973,286387
385973,286387
385973,286387
385973,1822689
2379179,272076
385973,286387
385973,1806685
385973,1806685
385973,1822689
385973,1822689
385973,2188978
385973,1809526
385973,76842
385973,368832
385973,701639
385973,104726
2379179,221707
2379179,3647674
385973,104726
385973,104726
2379179,88843
2379179,117793
2379179,117793
2379179,117793
2379179,117793
2379179,117793
2379179,117793
2379179,117793
2379179,117793
2379179,306625
2379179,306625
2379179,4694550
4663288,3039394
2379179,4694550
2379179,4694550
2379179,1023601
4663288,1239167
2379179,1934308
385973,104726
2379179,3
2379179,117793
2379179,117793
2379179,117793
2379179,148622
2379179,50225
2379179,117793
2379179,117793
2379179,117793
2379179,1000382
2379179,1129183
2379179,1322229
4663288,1601953
4663288,1484710
2379179,3012880
2379179,1977722
4663288,1239167
4663288,1951028
4663288,104726
2379179,2349685
4663288,1951028
4663288,2627734
4663288,6127127
4663288,104726
2379179,2591142
2379179,1129183
4663288,6557674
4663288,104726
4663288,104726
4663288,6557674
4663288,2567294
2379179,50225
2379179,4694550
4663288,6557674
4663288,6557674
2379179,537494
2379179,2
2379179,60308
385973,858604
2379179,2816383
2379179,2816383
4663288,6496770
4663288,1951028
4663288,7164567
2379179,49778
2379179,50225
2379179,369205
2379179,369205
2379179,295094
2379179,295094
2379179,4694550
2379179,50225
2379179,50225
2379179,295094
2379179,50225
2379179,369205
2379179,369205
2379179,3
2379179,50225
2379179,50225
2379179,50225
2379179,49778
2379179,50225
385973,1806685
2379179,50225
2379179,2816383
4663288,6557674
1092952,1050204
1313346,1165696
1092952,405061
1092952,791031
1092952,1271995
1092952,1271995
1313346,1548433
1313346,1548433
1313346,1548433
1313346,1548433
1092952,791031
1313346,2310125
1092952,130203
1313346,1212010
1313346,1809526
1092952,791031
1313346,2398346
1092952,791031
1313346,1212010
1313346,1548433
1092952,791031
1092952,1050204
1092952,2376637
1092952,4040974
1313346,987330
1092952,1855000
1313346,233082
1313346,1413021
1092952,2594809
1313346,1212010
1092952,1855000
1092952,444340
1313346,4070617
1092952,791031
1092952,4099714
5789813,5557975
1092952,1239167
1092952,1271995
1092952,1775971
1092952,104726
1092952,520219
1092952,791031
1092952,3831784
1092952,6471793
1313346,718966
1313346,1342096
1092952,4099714
1092952,2376637
1092952,68314
1092952,791031
1092952,3831784
1313346,1548433
1092952,3831784
1092952,457651
1092952,457651
1092952,405061
1092952,4099714
1313346,277870
1092952,1271995
1092952,1855000
1092952,1239167
1092952,2376637
1092952,577614
1092952,791031
1092952,791031
1092952,1050204
1313346,4679883
278434,59321
278434,50225
278434,183628
278434,188655
278434,183628
278434,183628
577614,132891
278434,294808
278434,303512
278434,303512
278434,325907
278434,325907
278434,294808
278434,294808
278434,303512
278434,292117
278434,294371
278434,294371
278434,294371
278434,303512
278434,325907
278434,339855
278434,382960
278434,382960
278434,303512
278434,339855
278434,398970
278434,447625
278434,513388
278434,485045
278434,303512
278434,292117
278434,292476
278434,294808
278434,303512
278434,341479
278434,351854
278434,294808
278434,289379
278434,513388
278434,398970
278434,513388
278434,294371
278434,573878
278434,559341
278434,573916
278434,686540
278434,578573
278434,303512
278434,325907
278434,289379
278434,325907
278434,325907
278434,368811
278434,422540
278434,398970
278434,325907
278434,46844
278434,84601
278434,129336
278434,129336
278434,161265
278434,223460
278434,55280
278434,55280
278434,84601
278434,129336
278434,23
278434,84601
278434,13
278434,186928
577614,104726
278434,294808
278434,339855
278434,339855
278434,339855
278434,339855
278434,339855
278434,303512
278434,303512
278434,303512
278434,401338
278434,401338
278434,401338
278434,401338
278434,485045
278434,339855
278434,339855
278434,579242
278434,1008181
278434,294808
278434,303512
278434,303512
278434,303512
278434,303512
278434,303512
278434,294371
