,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
0,1,1,6836062,29,House,66,Shared room,5.0
1,1,2,9460165,75,Apartment,6,Private room,5.0
2,1,3,9767682,115,Apartment,35,Entire home/apt,5.0
3,0,2,9005357,115,Apartment,69,Entire home/apt,5.0
4,1,2,9748352,35,House,33,Private room,5.0
5,1,1,10937337,28,Apartment,13,Private room,4.0
6,1,2,6225249,80,House,14,Private room,5.0
7,1,2,11986412,99,Apartment,1,Entire home/apt,0.0
8,1,2,12243691,49,Apartment,3,Private room,5.0
9,1,3,12291995,69,Apartment,0,Entire home/apt,0.0
10,1,2,11838753,38,Apartment,5,Shared room,4.5
11,1,2,9436241,82,Apartment,8,Entire home/apt,5.0
12,1,2,11608768,50,Apartment,10,Private room,4.5
13,1,4,8887975,185,Apartment,20,Entire home/apt,5.0
14,1,2,8651845,42,Apartment,44,Shared room,5.0
15,1,4,1777966,85,House,77,Private room,5.0
16,1,2,9759515,96,Bungalow,10,Entire home/apt,5.0
17,1,2,11552935,35,Apartment,7,Shared room,5.0
0,1,4,12274983,62,Condominium,3,Entire home/apt,5.0
1,1,2,9678188,53,Apartment,0,Private room,0.0
2,1,2,11552935,35,Apartment,7,Shared room,5.0
3,1,4,12433200,75,Apartment,0,Entire home/apt,0.0
4,2,3,11047240,87,House,15,Entire home/apt,5.0
5,1,1,6238183,28,Apartment,73,Private room,4.5
6,1,3,9951652,75,Apartment,12,Private room,5.0
7,1,2,8391825,75,Apartment,49,Private room,5.0
8,1,2,9514818,85,Apartment,5,Entire home/apt,5.0
9,1,2,11377157,80,Apartment,16,Entire home/apt,5.0
10,1,2,10956670,75,House,13,Private room,5.0
11,1,2,6155596,55,House,21,Private room,5.0
12,1,2,10518366,65,House,15,Private room,5.0
13,1,2,10253585,89,Apartment,10,Private room,5.0
14,1,2,10863314,99,Apartment,26,Entire home/apt,5.0
15,1,1,6363604,50,Condominium,15,Private room,4.5
16,1,2,7622094,70,Bungalow,50,Entire home/apt,5.0
17,1,4,11585872,67,Apartment,16,Entire home/apt,5.0
0,1,4,1826550,80,House,182,Private room,5.0
1,1,3,12005591,110,Loft,3,Entire home/apt,5.0
2,0,2,7954965,115,Apartment,93,Entire home/apt,5.0
3,1,4,10613409,79,Apartment,21,Entire home/apt,5.0
4,1,4,9047072,125,Apartment,11,Entire home/apt,5.0
5,1,3,9410204,33,House,44,Private room,4.5
6,1,3,9491921,90,Apartment,3,Entire home/apt,5.0
7,1,2,4833160,63,House,68,Private room,5.0
8,1,2,7627921,49,House,7,Private room,5.0
9,1,2,2307796,80,Townhouse,21,Private room,5.0
10,1,2,10253585,89,Apartment,10,Private room,5.0
11,1,1,8570237,13,Apartment,7,Shared room,5.0
12,2,4,11966988,106,House,0,Entire home/apt,0.0
13,1,2,12197737,97,Apartment,1,Entire home/apt,0.0
14,1,2,10863314,99,Apartment,26,Entire home/apt,5.0
15,1,2,7434370,50,Apartment,25,Private room,5.0
16,1,2,54262,55,House,107,Private room,5.0
17,0,3,8194959,110,House,19,Entire home/apt,5.0
0,1,1,8570237,13,Apartment,7,Shared room,5.0
1,1,2,8424567,43,Loft,31,Private room,5.0
2,2,4,11966988,106,House,0,Entire home/apt,0.0
3,1,2,12197737,97,Apartment,1,Entire home/apt,0.0
4,1,3,9887053,110,Apartment,10,Entire home/apt,5.0
5,1,2,7434370,50,Apartment,25,Private room,5.0
6,1,2,9137207,32,House,35,Private room,5.0
7,1,2,54262,55,House,107,Private room,5.0
8,2,4,10157099,115,Apartment,12,Entire home/apt,5.0
9,0,3,8194959,110,House,19,Entire home/apt,5.0
10,1,4,11136470,64,Condominium,3,Entire home/apt,5.0
11,1,3,3230663,85,House,15,Entire home/apt,4.5
12,1,2,10317055,34,Apartment,8,Shared room,5.0
13,1,3,10077855,87,Apartment,23,Entire home/apt,5.0
14,1,2,11070463,75,House,16,Private room,5.0
15,1,2,6986755,150,Apartment,10,Entire home/apt,5.0
16,1,2,10923060,41,Apartment,35,Private room,5.0
17,1,2,12289431,100,Apartment,1,Entire home/apt,0.0
0,1,2,11574468,35,House,14,Private room,5.0
1,1,2,1948009,70,House,141,Private room,5.0
2,0,3,5279958,120,Loft,87,Entire home/apt,5.0
3,0,2,5608008,57,Apartment,9,Entire home/apt,5.0
4,1,2,11260776,50,House,4,Private room,5.0
5,1,2,7262372,85,Apartment,68,Private room,5.0
6,1,4,10998500,110,Apartment,2,Entire home/apt,0.0
7,1,6,8091102,85,House,20,Private room,5.0
8,2,4,8134181,139,Apartment,30,Entire home/apt,5.0
