,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
0,1,1,2792132,50,Loft,30,Private room,5.0
1,1,2,7275130,60,Apartment,28,Private room,5.0
2,1,4,9578070,100,Apartment,12,Entire home/apt,5.0
3,1,2,10800006,35,Bed & Breakfast,16,Private room,5.0
4,1,1,925417,54,Apartment,21,Private room,5.0
5,0,2,12291245,59,Apartment,2,Entire home/apt,0.0
6,1,2,10448375,41,House,7,Private room,5.0
7,1,1,11491676,40,House,6,Private room,4.5
8,1,1,11776315,31,Apartment,10,Shared room,4.5
9,1,2,8690637,110,House,23,Entire home/apt,4.5
10,1,3,10477209,80,House,24,Private room,5.0
11,0,2,9317097,120,Loft,6,Entire home/apt,4.5
12,1,1,12232134,40,Dorm,0,Shared room,0.0
13,1,1,11911675,49,Apartment,1,Private room,0.0
14,1,2,178396,89,Apartment,18,Private room,5.0
15,1,4,10747461,79,Apartment,26,Private room,4.5
16,1,2,525586,93,Loft,30,Entire home/apt,5.0
17,1,2,11965963,45,House,4,Private room,5.0
0,1,1,10805373,15,Bed & Breakfast,6,Shared room,4.5
1,1,1,1914540,35,Apartment,37,Private room,5.0
2,1,1,9076037,62,Apartment,13,Private room,5.0
3,1,1,11085648,35,Apartment,2,Private room,0.0
4,1,2,11185521,60,House,11,Entire home/apt,5.0
5,1,2,12411491,65,House,1,Private room,0.0
6,1,2,8174646,69,House,8,Private room,5.0
7,1,2,9073469,75,Apartment,26,Private room,4.5
8,1,2,4030581,93,House,37,Private room,5.0
9,1,1,12026846,43,Apartment,2,Private room,0.0
10,0,2,2560403,60,House,25,Entire home/apt,5.0
11,1,1,4584564,40,House,18,Private room,5.0
12,1,3,11492513,46,Apartment,5,Private room,5.0
13,1,2,7903918,67,Apartment,26,Private room,4.5
14,1,2,1273249,85,Apartment,7,Entire home/apt,5.0
15,1,3,10208701,89,Apartment,14,Private room,5.0
16,1,2,12360968,55,Apartment,1,Private room,0.0
17,1,3,12401724,50,House,0,Private room,0.0
0,1,2,10414541,99,Townhouse,6,Private room,5.0
1,1,1,4584564,40,House,18,Private room,5.0
2,1,3,11492513,46,Apartment,5,Private room,5.0
3,1,2,1273249,85,Apartment,7,Entire home/apt,5.0
4,0,2,9653615,99,House,30,Entire home/apt,5.0
5,1,2,12360968,55,Apartment,1,Private room,0.0
6,1,3,12401724,50,House,0,Private room,0.0
7,1,1,7875118,70,Loft,6,Shared room,5.0
8,1,3,8226591,65,Apartment,7,Entire home/apt,4.5
9,1,2,12069569,36,House,1,Private room,0.0
10,1,2,6935037,59,House,46,Private room,5.0
11,1,2,12293417,145,Apartment,1,Entire home/apt,0.0
12,1,1,3295001,58,Loft,16,Private room,5.0
13,1,2,9296004,72,Bungalow,9,Entire home/apt,5.0
14,0,2,11803008,74,Apartment,6,Entire home/apt,5.0
15,1,2,7807274,120,Apartment,20,Entire home/apt,5.0
16,1,2,4000249,90,Apartment,22,Private room,5.0
17,1,2,11357962,99,Apartment,16,Private room,5.0
0,1,3,10339185,124,Apartment,20,Entire home/apt,5.0
