,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
0,1.0,1,12382618,38,Apartment,1,Shared room,0.0
1,1.0,1,648047,61,Apartment,67,Private room,4.5
2,1.0,2,6597854,58,Apartment,6,Private room,5.0
3,1.0,2,8750161,56,House,36,Private room,5.0
4,0.0,2,11862330,130,Apartment,4,Entire home/apt,5.0
5,1.0,2,8144148,98,Apartment,18,Private room,5.0
6,1.0,2,8013731,69,Apartment,7,Private room,4.5
7,1.0,1,4257306,90,Apartment,16,Private room,5.0
8,1.0,2,4410484,96,Apartment,21,Private room,5.0
9,1.0,2,11689367,90,Apartment,10,Private room,5.0
10,2.0,3,4279260,96,Apartment,12,Entire home/apt,5.0
11,1.0,2,9923887,50,Apartment,16,Private room,5.0
12,1.0,2,10500406,80,Apartment,2,Private room,0.0
13,1.0,2,488249,60,Apartment,7,Private room,5.0
14,1.0,1,9401508,34,Apartment,9,Private room,4.5
15,1.0,1,9544597,90,Apartment,4,Private room,4.5
16,1.0,1,7824945,62,Apartment,24,Private room,5.0
17,1.0,1,9740116,95,Apartment,14,Private room,5.0
0,1.0,2,10644596,95,Apartment,8,Entire home/apt,5.0
1,1.0,2,11710323,50,Apartment,3,Private room,3.5
2,1.0,2,9414324,49,House,26,Private room,5.0
3,0.0,4,5926854,165,Apartment,11,Entire home/apt,5.0
4,0.0,2,2724993,70,Apartment,14,Entire home/apt,4.5
5,1.0,2,4003515,75,House,1,Private room,0.0
6,1.0,2,12465200,145,Apartment,0,Entire home/apt,0.0
7,1.0,1,12343984,29,Apartment,0,Shared room,0.0
8,1.0,3,12430153,85,Apartment,0,Entire home/apt,0.0
9,1.0,3,9045822,50,Apartment,16,Private room,4.5
10,1.0,2,10293026,25,House,2,Private room,0.0
11,1.0,1,4257306,90,Apartment,16,Private room,5.0
12,1.0,3,12034640,50,Apartment,4,Private room,5.0
13,1.0,2,4040407,179,Apartment,20,Entire home/apt,5.0
14,1.0,1,9807955,90,Apartment,4,Private room,5.0
15,1.0,2,2057315,125,Apartment,12,Entire home/apt,4.5
16,1.0,4,6868055,100,Apartment,12,Entire home/apt,4.5
17,1.0,2,11462446,100,Apartment,9,Private room,5.0
0,1.0,2,11462446,100,Apartment,9,Private room,5.0
1,1.0,3,7179131,160,Apartment,22,Entire home/apt,4.5
2,1.0,1,2145759,69,Apartment,37,Private room,5.0
3,0.0,1,6348659,70,Apartment,8,Entire home/apt,4.5
4,1.0,2,6197119,110,Apartment,11,Entire home/apt,4.5
5,1.0,2,11475963,99,Apartment,1,Private room,0.0
6,1.0,2,11407839,90,Apartment,6,Private room,5.0
7,1.0,2,8538606,60,Condominium,9,Private room,5.0
8,1.0,4,489018,175,Apartment,28,Entire home/apt,5.0
9,1.0,2,9747186,65,Apartment,2,Private room,0.0
10,1.0,2,1868922,79,Apartment,34,Private room,5.0
11,1.0,2,12053251,40,Apartment,10,Private room,5.0
12,1.0,3,12366163,150,Apartment,0,Entire home/apt,0.0
13,1.0,2,12092591,65,Apartment,1,Private room,0.0
14,0.0,2,12114920,130,Apartment,0,Entire home/apt,0.0
15,1.0,2,11274181,100,Apartment,5,Private room,5.0
16,1.0,2,9886516,200,Apartment,2,Entire home/apt,0.0
17,1.0,1,6706708,68,Apartment,46,Private room,4.5
0,1.0,1,10232588,42,House,14,Private room,5.0
1,1.0,3,7819482,130,Apartment,25,Entire home/apt,5.0
2,1.0,2,7046191,80,Apartment,8,Private room,5.0
3,0.0,2,11479550,115,Apartment,4,Entire home/apt,4.5
