,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
0,1.0,2,10981658,10,Apartment,16,Entire home/apt,5.0
1,1.0,4,12249366,129,Apartment,1,Entire home/apt,0.0
2,1.0,3,9079892,109,Apartment,53,Entire home/apt,4.5
3,0.0,2,8225872,80,Apartment,34,Entire home/apt,5.0
4,1.0,3,825531,85,Apartment,26,Entire home/apt,4.5
5,1.0,3,12272478,90,Apartment,1,Private room,0.0
6,1.0,2,9216947,100,House,4,Private room,5.0
7,1.0,2,9579541,52,Loft,12,Private room,5.0
8,1.0,2,12323552,30,Apartment,0,Private room,0.0
9,1.0,2,4547741,75,Apartment,8,Entire home/apt,5.0
10,0.0,2,9311060,78,Apartment,20,Entire home/apt,5.0
11,1.0,2,3339715,85,Loft,139,Private room,5.0
12,1.0,2,7982786,35,Apartment,22,Private room,5.0
13,0.0,2,7783418,95,Loft,6,Entire home/apt,5.0
14,0.0,2,11605484,75,Apartment,6,Entire home/apt,5.0
15,1.0,4,12028045,95,Apartment,0,Entire home/apt,0.0
16,1.0,2,10998022,59,Apartment,15,Private room,5.0
17,1.0,2,4567371,81,Apartment,119,Entire home/apt,5.0
0,1.0,1,11190920,41,Apartment,4,Private room,5.0
1,1.0,2,8453586,55,Apartment,50,Private room,5.0
2,1.0,1,8796824,29,Apartment,21,Private room,5.0
3,1.0,1,9531440,40,House,47,Private room,5.0
4,1.0,2,8824621,45,Condominium,28,Private room,4.5
5,1.0,3,11636051,59,Apartment,3,Entire home/apt,5.0
6,1.0,3,9625147,75,Apartment,3,Entire home/apt,5.0
7,1.0,2,9845510,49,Apartment,14,Private room,5.0
8,1.0,1,3434136,65,Apartment,77,Private room,5.0
9,1.0,2,12137171,29,Condominium,4,Shared room,5.0
10,1.0,3,6193582,150,Apartment,9,Entire home/apt,5.0
11,1.0,2,12309304,79,Apartment,1,Private room,0.0
12,1.0,2,6133578,70,House,47,Entire home/apt,5.0
13,1.0,2,3177497,19,Condominium,4,Private room,4.5
