,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
0,1,2,11640393,72,Townhouse,1,Entire home/apt,0.0
1,1,1,11116110,70,Townhouse,8,Private room,5.0
2,1,3,11398083,50,Townhouse,8,Private room,4.5
3,1,1,10727677,60,Bed & Breakfast,12,Private room,5.0
4,1,2,9484866,65,House,14,Private room,4.5
5,0,2,8671978,105,Apartment,13,Entire home/apt,4.5
6,1,1,2419118,50,House,19,Private room,5.0
7,1,2,9116972,70,Apartment,23,Entire home/apt,4.5
8,1,3,11815011,150,Apartment,4,Entire home/apt,5.0
9,1,2,1170249,105,House,302,Private room,4.5
10,1,2,12035085,95,Apartment,4,Private room,5.0
11,1,3,1757739,85,Apartment,22,Entire home/apt,4.5
12,1,3,4588369,99,House,22,Entire home/apt,5.0
13,1,2,10886101,64,Apartment,13,Private room,5.0
14,1,2,453315,89,Apartment,375,Entire home/apt,5.0
15,1,1,7775008,65,House,75,Private room,5.0
16,1,3,10702816,109,Apartment,3,Entire home/apt,5.0
17,1,2,8291377,135,Condominium,33,Entire home/apt,5.0
0,1,3,9587504,120,Apartment,6,Entire home/apt,5.0
1,2,5,10900594,70,House,13,Entire home/apt,5.0
2,1,2,1855756,105,Condominium,205,Private room,5.0
3,1,2,11121546,85,House,19,Private room,5.0
4,1,2,4050343,63,House,31,Private room,5.0
5,1,2,817191,48,Apartment,43,Private room,5.0
6,1,2,956313,100,Apartment,16,Entire home/apt,5.0
7,1,1,62119,65,House,127,Private room,5.0
8,1,4,5029761,105,Apartment,90,Entire home/apt,4.5
9,0,2,8353034,80,House,48,Entire home/apt,5.0
10,0,2,12035341,85,Apartment,0,Entire home/apt,0.0
11,1,2,9789209,95,Apartment,17,Entire home/apt,4.5
12,1,2,11543932,65,House,10,Private room,5.0
13,0,1,6885325,116,Apartment,5,Entire home/apt,4.5
14,1,2,4900352,65,House,45,Private room,5.0
15,2,6,3897881,135,Apartment,7,Entire home/apt,5.0
16,1,2,9310047,100,Apartment,6,Private room,5.0
17,1,2,10338647,64,Condominium,22,Private room,5.0
0,2,6,3897881,135,Apartment,7,Entire home/apt,5.0
1,1,2,6000894,31,House,52,Private room,4.5
2,1,2,9310047,100,Apartment,6,Private room,5.0
3,1,2,10338647,64,Condominium,22,Private room,5.0
4,1,2,7988587,45,Bed & Breakfast,11,Private room,5.0
5,0,2,3783367,130,Apartment,22,Entire home/apt,5.0
6,1,2,9388808,80,Townhouse,10,Private room,5.0
7,0,2,10626368,94,Apartment,11,Entire home/apt,5.0
8,0,2,9147895,90,Apartment,9,Entire home/apt,5.0
9,1,2,5191331,65,House,10,Private room,5.0
10,1,1,2365726,62,Apartment,11,Private room,5.0
11,1,2,8309960,60,Condominium,14,Private room,5.0
12,2,5,12384167,75,Apartment,0,Entire home/apt,0.0
13,1,2,6311308,42,House,57,Private room,5.0
14,1,2,11315228,110,Apartment,18,Private room,5.0
