,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
0,1.0,2,10588112,75,Apartment,9,Private room,5.0
1,1.0,2,12066730,70,Apartment,2,Private room,0.0
2,1.0,2,1633173,59,House,19,Private room,4.5
3,1.0,2,12344514,125,Apartment,0,Entire home/apt,0.0
4,1.0,1,1093088,68,Apartment,109,Private room,5.0
5,2.0,4,9493932,175,Apartment,19,Entire home/apt,5.0
6,1.0,1,9080727,55,House,27,Shared room,4.5
7,1.0,2,562311,103,Apartment,140,Private room,5.0
8,0.0,2,3511756,148,Apartment,5,Entire home/apt,5.0
9,0.0,2,6544442,125,Apartment,14,Entire home/apt,5.0
10,1.0,3,7180020,229,Loft,50,Entire home/apt,5.0
11,2.0,4,1510363,120,House,115,Entire home/apt,5.0
12,1.0,2,9051149,99,Apartment,62,Private room,5.0
13,1.0,2,7458945,200,Loft,8,Entire home/apt,4.5
14,1.0,2,6835664,85,House,30,Private room,5.0
15,1.0,2,9695372,76,Apartment,13,Private room,5.0
16,1.0,2,10885556,150,House,4,Private room,5.0
17,1.0,2,11924237,140,House,0,Entire home/apt,0.0
0,1.0,2,4053544,120,Apartment,12,Private room,4.5
1,1.0,2,1237296,200,Apartment,98,Entire home/apt,5.0
2,0.0,2,8972002,160,Apartment,10,Entire home/apt,5.0
3,1.0,2,8088720,95,Bungalow,3,Private room,5.0
4,1.0,2,7973978,73,Apartment,46,Private room,4.5
5,1.0,2,9340256,195,House,32,Entire home/apt,5.0
6,1.0,1,6926410,52,Apartment,16,Private room,5.0
7,1.0,2,10418322,104,House,7,Private room,5.0
8,1.0,3,9347891,130,House,26,Entire home/apt,5.0
9,1.0,2,6968158,110,House,13,Private room,5.0
10,0.0,2,8777405,125,Apartment,23,Entire home/apt,5.0
11,1.0,2,10707366,81,Apartment,9,Private room,4.5
12,1.0,1,4480642,84,House,65,Private room,4.5
13,1.0,1,7204241,40,Apartment,37,Shared room,5.0
14,1.0,2,11593303,75,Apartment,1,Private room,0.0
15,1.0,2,6092596,174,Condominium,73,Entire home/apt,5.0
16,0.0,2,10899353,149,Apartment,5,Entire home/apt,4.5
17,1.0,2,9578797,107,Apartment,5,Entire home/apt,5.0
0,0.0,2,9735960,150,Apartment,9,Entire home/apt,5.0
1,1.0,1,9080895,55,House,18,Shared room,4.5
2,1.0,2,998701,97,House,100,Private room,5.0
3,1.0,1,9908325,79,Apartment,2,Entire home/apt,0.0
4,1.0,2,9435665,75,House,28,Private room,4.5
5,0.0,4,7823272,145,Apartment,25,Entire home/apt,5.0
6,1.0,2,242008,160,Apartment,20,Entire home/apt,5.0
7,1.0,4,12325197,129,Apartment,0,Entire home/apt,0.0
8,0.0,2,8487735,110,Apartment,16,Entire home/apt,5.0
9,1.0,1,2022447,125,Apartment,9,Entire home/apt,5.0
10,1.0,1,3082327,80,House,133,Private room,5.0
11,1.0,2,10529716,89,Apartment,11,Private room,5.0
12,1.0,2,1478708,90,House,9,Private room,5.0
13,1.0,2,10213460,125,Condominium,8,Private room,5.0
14,2.0,4,8630129,135,Apartment,2,Entire home/apt,0.0
15,1.0,2,7955738,90,Apartment,5,Private room,5.0
16,1.0,1,12026856,75,House,5,Private room,4.5
17,1.0,1,5903014,89,Apartment,78,Private room,5.0
0,1.0,2,1478708,90,House,9,Private room,5.0
